Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
November 30 2018,San Juan,PR,Passenger,0,1,1,5,6,16.67
November 30 2021,Ferry,WA,Passenger,13,3,16,4457,4473,0.36
July 31 2021,Eagle,CO,Passenger,1,0,1,10,11,9.09
January 31 2020,Collier,FL,Passenger,1,0,1,17,18,5.56
July 31 2023,Lane,OR,Passenger,0,2,2,66,68,2.94
May 31 2020,Ventura,CA,Passenger,1,1,2,296,298,0.67
August 31 2023,Carroll,MD,Passenger,0,1,1,20,21,4.76
January 31 2022,Washtenaw,MI,Passenger,0,1,1,30,31,3.23
November 30 2022,Clinton,PA,Passenger,1,0,1,1,2,50.00
August 31 2018,Lincoln,WA,Passenger,3,6,9,7748,7757,0.12
July 31 2018,Riverside,CA,Passenger,2,2,4,689,693,0.58
April 30 2020,Cochise,AZ,Passenger,0,1,1,100,101,0.99
June 30 2018,Sedgwick,KS,Passenger,0,1,1,101,102,0.98
August 31 2019,Alameda,CA,Passenger,4,1,5,300,305,1.64
January 31 2018,Adams,WA,Truck,0,0,0,5149,5149,0.00
September 30 2022,DeKalb,GA,Passenger,1,0,1,50,51,1.96
November 30 2018,Santa Fe,NM,Passenger,0,1,1,44,45,2.22
June 30 2022,Sumter,SC,Passenger,0,1,1,33,34,2.94
January 31 2019,Columbia,WA,Passenger,2,2,4,2424,2428,0.16
September 30 2020,El Dorado,CA,Passenger,1,0,1,36,37,2.70
October 31 2022,Tarrant,TX,Passenger,1,0,1,106,107,0.93
February 28 2023,Marin,CA,Passenger,0,1,1,31,32,3.12
March 31 2017,Monroe,NY,Passenger,1,0,1,30,31,3.23
May 31 2023,Yellowstone,MT,Passenger,0,1,1,16,17,5.88
November 30 2023,Washington,MD,Passenger,1,0,1,13,14,7.14
March 31 2017,Yakima,WA,Truck,0,0,0,57264,57264,0.00
September 30 2020,Santa Clara,CA,Passenger,6,2,8,290,298,2.68
January 31 2020,Alameda,CA,Passenger,4,1,5,295,300,1.67
July 31 2020,Montgomery,TX,Passenger,1,0,1,55,56,1.79
February 28 2018,Sumter,FL,Passenger,0,1,1,10,11,9.09
July 31 2017,Thurston,WA,Truck,0,0,0,53295,53295,0.00
October 31 2018,Grant,WA,Truck,0,0,0,26083,26083,0.00
April 30 2021,Whitman,WA,Truck,0,0,0,8568,8568,0.00
August 31 2018,Lewis,WA,Passenger,83,62,145,57864,58009,0.25
November 30 2018,Clark,WA,Passenger,1188,830,2018,310962,312980,0.64
May 31 2022,Juneau,AK,Passenger,0,1,1,30,31,3.23
June 30 2021,Louisa,VA,Passenger,0,1,1,1,2,50.00
August 31 2019,Wilson,TX,Passenger,0,1,1,7,8,12.50
October 31 2021,El Paso,TX,Passenger,3,0,3,368,371,0.81
May 31 2018,Kent,MI,Passenger,0,1,1,30,31,3.23
November 30 2021,Thurston,WA,Truck,0,0,0,56139,56139,0.00
July 31 2020,Clay,FL,Passenger,0,1,1,82,83,1.20
June 30 2022,Greene,MO,Passenger,0,1,1,26,27,3.70
June 30 2019,Saginaw,MI,Passenger,1,0,1,12,13,7.69
July 31 2022,DuPage,IL,Passenger,0,1,1,48,49,2.04
March 31 2022,Goochland,VA,Passenger,4,2,6,161,167,3.59
